constraint_id,site,jurisdiction,database_name,instrument_title,instrument_class,issuing_authority,source_id,section,effective_date_or_version,official_url,verbatim_rule_summary,parameter,operator,threshold,unit,applicability_condition,source_text_status,study_evaluator_applicability,study_applicability_basis,real_project_applicability_status,real_project_confirmation_required,confirmation_authority,confirmation_evidence_file,hard_or_soft,predicate,verification_status,notes
LON-C01,London,Greater London,GLA London Plan policy database,"The London Plan 2021, Policy G5 Urban greening",planning_policy,Mayor of London / Greater London Authority,LON-UGF,Policy G5 and supporting paragraph 8.5.5,London Plan 2021,https://www.london.gov.uk/programmes-strategies/planning/london-plan/the-london-plan-2021-online/chapter-8-green-infrastructure,The London Plan sets an interim UGF target score of 0.4 for predominantly residential development.,urban_greening_factor_predominantly_residential,>=,0.4,UGF score,For a major development treated by the planning authority as predominantly residential where Policy G5 applies.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For a major development treated by the planning authority as predominantly residential where Policy G5 applies. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",development_class_and_current_policy_confirmation_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,planning_policy_target_if_applicable,UGF_score >= 0.40,official_policy_url_verified_direct_text_access_challenge,"This is a planning-policy target, not a building-regulation minimum."
LON-C02,London,Greater London,GLA London Plan policy database,"The London Plan 2021, Policy G5 Urban greening",planning_policy,Mayor of London / Greater London Authority,LON-UGF,Policy G5 and supporting paragraph 8.5.5,London Plan 2021,https://www.london.gov.uk/programmes-strategies/planning/london-plan/the-london-plan-2021-online/chapter-8-green-infrastructure,"The London Plan sets an interim UGF target score of 0.3 for predominantly commercial development, excluding B2 and B8 uses.",urban_greening_factor_predominantly_commercial,>=,0.3,UGF score,"For a major development treated by the planning authority as predominantly commercial, excluding B2/B8 uses, where Policy G5 applies.",official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For a major development treated by the planning authority as predominantly commercial, excluding B2/B8 uses, where Policy G5 applies. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",development_class_and_current_policy_confirmation_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,planning_policy_target_if_applicable,UGF_score >= 0.30,official_policy_url_verified_direct_text_access_challenge,Do not apply both UGF targets simultaneously.
LON-C03,London,England,legislation.gov.uk and GOV.UK,"Town and Country Planning Act 1990 Schedule 7A, inserted by Environment Act 2021 Schedule 14",binding_regulation,UK Parliament; DEFRA guidance,UK-BNG,Schedule 7A; GOV.UK 'What BNG is',GOV.UK guidance last updated 2026-07-14,https://www.gov.uk/guidance/understanding-biodiversity-net-gain,GOV.UK states that BNG is mandatory under Schedule 7A and that developers must deliver 10% BNG.,biodiversity_net_gain,>=,0.1,fractional gain,For development in England unless a statutory exemption applies; check the application-date regime and the statutory metric.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For development in England unless a statutory exemption applies; check the application-date regime and the statutory metric. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",exemption_and_application_date_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,binding_if_applicable,(post_development_biodiversity_units - baseline_biodiversity_units) / baseline_biodiversity_units >= 0.10,official_guidance_text_verified_primary_legislation_linked,Irreplaceable-habitat rules and the exact red-line boundary require project-specific review.
LON-C04,London,England,legislation.gov.uk and GOV.UK,"Town and Country Planning Act 1990 Schedule 7A, inserted by Environment Act 2021 Schedule 14",binding_regulation,UK Parliament; DEFRA guidance,UK-BNG,Schedule 7A; GOV.UK habitat maintenance sections,GOV.UK guidance last updated 2026-07-14,https://www.gov.uk/guidance/understanding-biodiversity-net-gain,GOV.UK states that significant on-site gains and off-site gains must be maintained for a minimum of 30 years.,BNG_habitat_maintenance_term,>=,30,years,For significant on-site gains and off-site gains used to meet mandatory BNG.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For significant on-site gains and off-site gains used to meet mandatory BNG. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",gain_type_and_legal_mechanism_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,binding_if_applicable,secured_habitat_management_years >= 30,official_guidance_text_verified_primary_legislation_linked,A legal agreement and management/monitoring arrangements may be required.
LON-C05,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.2,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.2 recommends 2.0 m as the minimum unobstructed width under normal circumstances.,footway_normal_minimum_width,>=,2,m,Where practicable under normal pedestrian-route circumstances.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where practicable under normal pedestrian-route circumstances. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,min_footway_clear_width_m >= 2.00,official_pdf_verified,"The shared experiment minimum is 1.50 m; this is guidance, not law."
LON-C06,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.2,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.2 gives 1.5 m as a constrained minimum where 2.0 m cannot be achieved.,footway_constrained_minimum_width,>=,1.5,m,Only where 2.0 m is not feasible because of physical constraints.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only where 2.0 m is not feasible because of physical constraints. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,min_footway_clear_width_m >= 1.50,official_pdf_verified,Matches the shared experiment minimum but remains guidance.
LON-C07,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.2,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.2 allows an absolute 1.0 m width only at unavoidable obstructions and for no more than 6 m.,restricted_width_segment_length,<=,6,m,Where an unavoidable obstacle reduces clear width to 1.0 m.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where an unavoidable obstacle reduces clear width to 1.0 m. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,restricted_width_m >= 1.00 AND restricted_segment_length_m <= 6,official_pdf_verified,Obstacles should be removed or relocated where feasible.
LON-C08,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.3,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.3 recommends a gradient no steeper than 1:20 where a level route is not feasible.,pedestrian_route_running_gradient,<=,0.05,ratio,Where a level route is not feasible; steeper routes require separate ramp treatment.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where a level route is not feasible; steeper routes require separate ramp treatment. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,max_walking_surface_running_slope <= 0.05,official_pdf_verified,The study independently uses the same 5% value as a research control.
LON-C09,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.3,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.3 prefers 1-2% crossfall and identifies 1:40 as the maximum acceptable.,footway_crossfall,<=,0.025,ratio,Where crossfall is required for drainage.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where crossfall is required for drainage. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,max_crossfall <= 0.025,official_pdf_verified,The study's 2% research rule is stricter.
LON-C10,London,United Kingdom,GOV.UK official publications,Inclusive Mobility: A Guide to Best Practice,official_guidance,UK Department for Transport,UK-INCLUSIVE,Section 4.5,Published December 2021,https://assets.publishing.service.gov.uk/media/61d32bb7d3bf7f1f72b5ffd2/inclusive-mobility-a-guide-to-best-practice-on-access-to-pedestrian-and-transport-infrastructure.pdf,Section 4.5 recommends seats at intervals no greater than 50 m in commonly used pedestrian areas.,seat_interval,<=,50,m,In commonly used pedestrian areas and transport interchanges/stations.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: In commonly used pedestrian areas and transport interchanges/stations. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",guidance_context_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,nonbinding_official_guidance,max_network_distance_between_accessible_seats_m <= 50,official_pdf_verified,Seats should be adjacent to and not obstruct the route.
LON-C11,London,OPDC,OPDC planning record,104-108 Scrubs Lane planning application (Mitre Yard),official_site_record,Greater London Authority / OPDC,LON-MITRE-APP,Application 17/0055/FUMOPDC,Current status must be rechecked,https://www.london.gov.uk/who-we-are/city-halls-partners/old-oak-and-park-royal-development-corporation-opdc/opdc-consultations/104-108-scrubs-lane-planning-application,The official record identifies the site and application reference; it does not establish current implementability.,current_planning_permission_and_conditions_check,review,,none,Before treating any analytical proposal as implementable at Mitre Yard.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Before treating any analytical proposal as implementable at Mitre Yard. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",current_permission_land_control_and_superseding_applications_pending,yes,"OPDC/local planning authority and the relevant qualified planning, ecology, or access professional",,due_diligence_gate_not_a_rule,current_permission_conditions_land_control_and_superseding_applications_checked = true,official_record_verified_project_status_pending,The study is not a planning application and does not confer development rights.
CHI-C01,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 403.5.1,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,"Section 403.5.1 requires 36 in (915 mm) minimum clear width for walking surfaces, subject to listed exceptions.",accessible_walking_surface_clear_width,>=,0.915,m,Where the 2010 ADA Standards govern the facility and accessible walking surface.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where the 2010 ADA Standards govern the facility and accessible walking surface. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_alteration_scope_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,min_accessible_walking_surface_clear_width_m >= 0.915,official_text_verified_applicability_pending,The study's 1.50 m minimum is stricter.
CHI-C02,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 403.3,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,Section 403.3 limits walking-surface running slope to 1:20 and cross slope to 1:48.,accessible_walking_surface_running_slope,<=,0.05,ratio,For an ADA-governed walking surface; steeper surfaces are ramps and must meet Section 405.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For an ADA-governed walking surface; steeper surfaces are ramps and must meet Section 405. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_route_classification_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,max_accessible_walking_surface_running_slope <= 1/20,official_text_verified_applicability_pending,1:20 equals 0.05.
CHI-C03,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 403.3,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,Section 403.3 limits walking-surface cross slope to 1:48.,accessible_walking_surface_cross_slope,<=,0.0208333333,ratio,For an ADA-governed accessible walking surface.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: For an ADA-governed accessible walking surface. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_route_classification_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,max_accessible_walking_surface_cross_slope <= 1/48,official_text_verified_applicability_pending,The study's 0.02 research limit is slightly stricter.
CHI-C04,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 304.3.1,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,Section 304.3.1 requires a circular turning space of 60 in (1525 mm) minimum diameter.,circular_turning_space_diameter,>=,1.525,m,Where a circular space is used to satisfy an applicable turning-space requirement.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where a circular space is used to satisfy an applicable turning-space requirement. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_turning_space_type_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,min_circular_turning_space_diameter_m >= 1.525,official_text_verified_applicability_pending,Use 1.525 m in Chicago or a compliant T-shaped space; 1.50 m is not enough for the circular option.
CHI-C05,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 403.5.3,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,Section 403.5.3 requires passing spaces at intervals of 200 ft (61 m) maximum when clear width is less than 60 in (1525 mm).,accessible_route_passing_space_interval,<=,61,m,Where an applicable accessible route has clear width below 1.525 m.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Where an applicable accessible route has clear width below 1.525 m. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_route_width_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,max_passing_space_interval_m <= 61 AND passing_space_min_dimensions_m >= 1.525x1.525,official_text_verified_applicability_pending,The study's 1.50 m route width triggers this check if ADA applies.
CHI-C06,Chicago,United States,ADA.gov official standards database,2010 ADA Standards for Accessible Design,binding_federal_standard,U.S. Department of Justice,US-ADA2010,Section 405.2,2010 Standards,https://www.ada.gov/law-and-regs/design-standards/2010-stds/,"Section 405.2 limits ramp runs to 1:12, with specified existing-site exceptions.",ramp_running_slope,<=,0.0833333333,ratio,Only where the route segment is classified as a ramp and ADA applies.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Only where the route segment is classified as a ramp and ADA applies. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",facility_and_route_classification_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,binding_if_applicable,max_ramp_running_slope <= 1/12,official_text_verified_applicability_pending,The study's 5% walking-surface rule is stricter where achievable.
CHI-C07,Chicago,Chicago,American Legal Publishing Code Library,"Chicago Zoning Ordinance, Chapter 17-11 Landscaping and Screening",binding_regulation,City of Chicago,CHI-ZONING-CODE,"Sections 17-11-0101, 17-11-0102, and 17-11-0203",2026 S-73 (current as accessed 2026-08-04),https://codelibrary.amlegal.com/codes/chicago/latest/chicagozoning_il/0-0-0-50905,"The chapter lists project triggers and exemptions; interior landscaping applies to lots containing vehicular use areas of at least 3,000 sq ft.",landscape_code_applicability_check,review,,none,Before applying any Chapter 17-11 numeric landscape rule.,official_source_verified,conditional_screening_rule_frozen,"Apply only when this frozen condition is supported by scenario metadata: Before applying any Chapter 17-11 numeric landscape rule. If required trigger evidence is absent, record not_evaluable; never record pass or not_applicable by assumption.",project_type_vehicular_use_area_and_exemptions_pending,yes,City of Chicago authority having jurisdiction and the relevant qualified local planning/access professional,,due_diligence_gate_for_binding_code,current_code_project_type_area_and_exemptions_checked = true,official_current_code_text_verified_applicability_pending,Do not assume the trail corridor is a qualifying vehicular use area.
