scenario_id,site,variant,budget_multiplier,base_capital_budget,currency,price_base_date,scenario_capital_cap,budget_source_id,status,base_resource_units,scenario_resource_cap_units,resource_catalog
LON-AR-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-CU-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
LON-CU-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-RR-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
LON-RR-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-EA-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
LON-EA-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
LON-IP-B,London,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
LON-IP-S,London,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-GE-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-GE-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-AR-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-AR-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-CU-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-CU-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-RR-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-RR-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-EA-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-EA-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
CHI-IP-B,Chicago,B,1.0,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,100.0,metadata/normalized_resource_cost_catalog.csv
CHI-IP-S,Chicago,S,0.8,,NOT_APPLICABLE_UNIT_LESS_INDEX,,,EXP1-NORMALIZED-RESOURCE-INDEX-V1,RUNNABLE_NORMALIZED_RESOURCE_CAP_ABSOLUTE_COST_NOT_CLAIMED,100.0,80.0,metadata/normalized_resource_cost_catalog.csv
