yaml_path,value,category,decision,proposed_change,rationale_or_source,reviewed_by,review_date_utc
internal_feedback.v_acc_min,0.8,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.v_sol_min,0.6,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.v_thm_min,0.6,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.v_grn_min,0.35,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.v_eco_min,0.5,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.v_bgt_min,0.95,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.critical_access_object_z_acc_min,0.7,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.vulnerable_use_zone_z_thm_min,0.5,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.acc,0.25,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.sol,0.1,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.thm,0.2,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.grn,0.15,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.eco,0.15,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.objective_weights.bgt,0.15,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
internal_feedback.departure_penalty_mu,0.1,internal_feedback,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
equity_guardian.baseline_access_epsilon,0.05,equity_guardian,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
equity_guardian.vulnerability_weight_cap,5.0,equity_guardian,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
equity_guardian.retention_gini_alert,0.2,equity_guardian,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
equity_guardian.retention_gini_reengagement,0.25,equity_guardian,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
equity_guardian.minimum_group_need_retention,0.75,equity_guardian,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.budget_ratio_max,1.0,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.cross_domain_overlap_area_m2_max,0.01,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.disconnected_accessible_routes_max,0,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.unresolved_critical_conflicts_max,0,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.missing_required_provenance_links_max,0,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.accessible_route_clear_width_m_min,1.5,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.accessible_route_running_slope_max,0.05,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.accessible_route_cross_slope_max,0.02,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
shared_hard_constraints.wheelchair_turning_diameter_m_min,1.525,shared_hard_constraints,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
stopping.max_revision_cycles,30,stopping,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
stopping.max_elapsed_minutes,120,stopping,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
stopping.max_professional_person_hours,8.0,stopping,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
stopping.max_scenario_compute_minutes,120,stopping,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.area_or_canopy_relative_tolerance,0.05,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.budget_relative_tolerance,0.02,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.positive_test_multiplier,1.5,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.null_test_multipliers[0],0.0,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.null_test_multipliers[1],0.25,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.null_test_multipliers[2],0.5,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.null_test_multipliers[3],0.75,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.positive_cases_per_site,4,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
implementation_deviation_tests.null_cases_per_site,4,implementation_deviation_tests,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.rating_scale_min,1,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.rating_scale_max,7,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.session_minutes_min,30,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.session_minutes_max,60,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.minimum_completed_ratings_per_scenario,2,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
expert_review.maximum_primary_missing_fraction,0.1,expert_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
resident_review.fidelity_scale_min,1,resident_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
resident_review.fidelity_scale_max,7,resident_review,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
llm_configuration.max_output_tokens,8192,llm_configuration,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
llm_configuration.schema_invalid_retry_limit,1,llm_configuration,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
llm_configuration.api_preflight_live_schema_requests,4,llm_configuration,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
llm_configuration.api_preflight_local_refusal_fixtures,1,llm_configuration,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
llm_configuration.sensitivity_scenarios,12,llm_configuration,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.master_seed,20260804,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.python_hash_seed,20260804,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.ortools_num_search_workers,1,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.expert_allocation_seed,400001,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.expert_order_seed_base,400100,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.resident_allocation_seed_base,800000,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.bootstrap_seed,600001,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
randomness.permutation_seed,600002,randomness,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
analysis.bootstrap_repetitions,10000,analysis,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
analysis.permutation_repetitions,10000,analysis,pending_author_and_pi_approval,,"Review against protocol, source, ethics scope, and analysis plan.",,
