assignment_id,scenario_id,workflow,planned_operator_slot,real_operator_id,assignment_status,pi_verified,notes
ASN-LON-IP-B-CONVENTIONAL,LON-IP-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-IP-B-DIGITAL,LON-IP-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-IP-B-POLIS,LON-IP-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-IP-S-CONVENTIONAL,LON-IP-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-IP-S-DIGITAL,LON-IP-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-LON-IP-S-POLIS,LON-IP-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-B-CONVENTIONAL,CHI-GE-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-B-DIGITAL,CHI-GE-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-B-POLIS,CHI-GE-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-S-CONVENTIONAL,CHI-GE-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-S-DIGITAL,CHI-GE-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-GE-S-POLIS,CHI-GE-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-B-CONVENTIONAL,CHI-AR-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-B-DIGITAL,CHI-AR-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-B-POLIS,CHI-AR-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-S-CONVENTIONAL,CHI-AR-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-S-DIGITAL,CHI-AR-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-AR-S-POLIS,CHI-AR-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-B-CONVENTIONAL,CHI-CU-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-B-DIGITAL,CHI-CU-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-B-POLIS,CHI-CU-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-S-CONVENTIONAL,CHI-CU-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-S-DIGITAL,CHI-CU-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-CU-S-POLIS,CHI-CU-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-B-CONVENTIONAL,CHI-RR-B,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-B-DIGITAL,CHI-RR-B,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-B-POLIS,CHI-RR-B,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-S-CONVENTIONAL,CHI-RR-S,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-S-DIGITAL,CHI-RR-S,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-RR-S-POLIS,CHI-RR-S,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-B-CONVENTIONAL,CHI-EA-B,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-B-DIGITAL,CHI-EA-B,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-B-POLIS,CHI-EA-B,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-S-CONVENTIONAL,CHI-EA-S,CONVENTIONAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-S-DIGITAL,CHI-EA-S,DIGITAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-EA-S-POLIS,CHI-EA-S,POLIS,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-B-CONVENTIONAL,CHI-IP-B,CONVENTIONAL,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-B-DIGITAL,CHI-IP-B,DIGITAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-B-POLIS,CHI-IP-B,POLIS,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-S-CONVENTIONAL,CHI-IP-S,CONVENTIONAL,OP_SLOT03,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-S-DIGITAL,CHI-IP-S,DIGITAL,OP_SLOT01,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
ASN-CHI-IP-S-POLIS,CHI-IP-S,POLIS,OP_SLOT02,,planned_slot_not_real_assignment,no,Replace the slot with a verified coded operator before freeze; do not enter a name.
