predicate_id,need_id,site,domain,metric,operator,target_value,unit,tolerance,evaluation_window,pass_logic,hard_or_soft,source_id,verification_status,notes
LON-N03-P,LON-N03,London,shade_comfort,weighted_effective_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,"21 Jun, 21 Jul, 21 Aug at 10:00, 12:00, 14:00, 16:00 local solar time",Pass when the frozen time-weighted shade evaluator returns at least 0.60 for priority locations.,soft,INT-PREREG,frozen_evaluator_required,
LON-N04-P,LON-N04,London,shade_comfort,max_rest_interval_m AND route_obstruction_count,compound,50;0,m;count,location_centroid_5m,final_valid_design,Pass when every primary-route segment is within 50 m network distance of a rest node and no rest element obstructs the route.,soft,UK-INCLUSIVE,frozen_evaluator_required,
LON-N05-P,LON-N05,London,ecology,native_or_locally_adapted_planting_fraction AND green_fraction,compound,0.70;0.35,fraction;fraction,area_or_canopy_relative_0.05,final_valid_design,Pass when at least 70% of planted area uses native or locally adapted species AND total green fraction is at least 0.35.,soft,LON-MITRE-APP,frozen_evaluator_required,The 70% planting mix is study-defined; project ecologists must approve species and habitat specifications.
LON-N06-P,LON-N06,London,activity_use,accessible_usable_activity_area_m2,>=,100,m2,area_relative_0.05,final_valid_design,"Pass when at least one connected, accessible, unobstructed activity area totals 100 m2 or more.",soft,LON-MITRE-APP,frozen_evaluator_required,"The 100 m2 minimum is an experimental design standard, not a reported community preference."
LON-N07-P,LON-N07,London,maintenance_budget,budget_ratio AND maintenance_plan_complete,compound,1.00;true,ratio;boolean,budget_relative_0.02;categorical_exact,final_valid_design,"Pass when budget ratio <=1.00 AND the maintenance plan contains responsible party, frequency, and replacement actions.",hard,INT-PREREG,study_rule_verified,
LON-N08-P,LON-N08,London,vulnerable_group_priority,min_turning_diameter_m AND minimum_group_need_retention,compound,1.525;0.75,m;fraction,exact_hard_geometry;continuous_relative_0.02,final_valid_design,Pass when every required destination has a circular turning diameter of at least 1.525 m AND vulnerable-group need retention is at least 0.75.,soft,INT-PREREG,study_rule_verified,Shared research rule; not asserted as a London legal minimum.
CHI-N01-P,CHI-N01,Chicago,access_mobility,disconnected_required_destinations,<=,0,count,exact,final_valid_design,Pass when every required entrance and destination is in one accessible-route component.,hard,INT-PREREG,study_rule_verified,
CHI-N02-P,CHI-N02,Chicago,access_mobility,min_clear_width_m AND max_running_slope AND max_cross_slope,compound,1.50;0.05;0.02,m;ratio;ratio,exact_hard_constraint,final_valid_design,Pass only when width >=1.50 m AND running slope <=0.05 AND cross slope <=0.02 everywhere on the primary route.,hard,INT-PREREG,study_rule_verified,Jurisdictional minima are evaluated separately; a stricter applicable law supersedes this rule.
CHI-N03-P,CHI-N03,Chicago,shade_comfort,weighted_effective_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,"21 Jun, 21 Jul, 21 Aug at 10:00, 12:00, 14:00, 16:00 local solar time",Pass when the frozen time-weighted shade evaluator returns at least 0.60 for priority locations.,soft,INT-PREREG,frozen_evaluator_required,
CHI-N04-P,CHI-N04,Chicago,shade_comfort,max_rest_interval_m AND route_obstruction_count,compound,50;0,m;count,location_centroid_5m,final_valid_design,Pass when every primary-route segment is within 50 m network distance of a rest node and no rest element obstructs the route.,soft,INT-PREREG,frozen_evaluator_required,
CHI-N05-P,CHI-N05,Chicago,ecology,native_or_locally_adapted_planting_fraction AND green_fraction,compound,0.70;0.35,fraction;fraction,area_or_canopy_relative_0.05,final_valid_design,Pass when at least 70% of planted area uses native or locally adapted species AND total green fraction is at least 0.35.,soft,CHI-ENGLEWOOD,frozen_evaluator_required,The 70% planting mix is study-defined; project ecologists must approve species and habitat specifications.
CHI-N06-P,CHI-N06,Chicago,activity_use,accessible_usable_activity_area_m2,>=,100,m2,area_relative_0.05,final_valid_design,"Pass when at least one connected, accessible, unobstructed activity area totals 100 m2 or more.",soft,CHI-ENGLEWOOD,frozen_evaluator_required,"The 100 m2 minimum is an experimental design standard, not a reported community preference."
CHI-N07-P,CHI-N07,Chicago,maintenance_budget,budget_ratio AND maintenance_plan_complete,compound,1.00;true,ratio;boolean,budget_relative_0.02;categorical_exact,final_valid_design,"Pass when budget ratio <=1.00 AND the maintenance plan contains responsible party, frequency, and replacement actions.",hard,INT-PREREG,study_rule_verified,
CHI-N08-P,CHI-N08,Chicago,vulnerable_group_priority,min_turning_diameter_m AND minimum_group_need_retention,compound,1.525;0.75,m;fraction,exact_hard_geometry;continuous_relative_0.02,final_valid_design,Pass when every required destination has a circular turning diameter of at least 1.525 m AND vulnerable-group need retention is at least 0.75.,soft,INT-PREREG,study_rule_verified,Shared study rule and verified Chicago circular-turning value where ADA applies.
SUZ-GE-N09-P,SUZ-GE-N09,Suzhou,ecology,contiguous_green_element_area_m2,>=,200,m2,area_relative_0.05,final_valid_design,Pass when one connected qualifying green-element polygon has area at least 200 m2.,hard,INT-PREREG,study_rule_verified,
SUZ-GE-N10-P,SUZ-GE-N10,Suzhou,activity_use,accessible_activity_node_area_m2,>=,150,m2,area_relative_0.05,final_valid_design,Pass when a connected accessible activity node has usable area at least 150 m2.,soft,INT-PREREG,study_rule_verified,
SUZ-AR-N09-P,SUZ-AR-N09,Suzhou,access_mobility,blocked_edge_used AND disconnected_required_destinations,compound,false;0,boolean;count,exact,final_valid_design,Pass when the blocked edge is not used AND all required destinations remain connected.,hard,INT-PREREG,study_rule_verified,
SUZ-AR-N10-P,SUZ-AR-N10,Suzhou,shade_comfort,max_rest_interval_m,<=,35,m,location_centroid_5m,final_valid_design,Pass when rest nodes occur at network intervals no greater than 35 m along the rerouted route.,soft,INT-PREREG,study_rule_verified,
SUZ-CU-N09-P,SUZ-CU-N09,Suzhou,ecology,protected_ecology_area_fraction,>=,0.4,fraction,area_relative_0.05,final_valid_design,Pass when protected ecology area is at least 40% of allocable site area.,hard,INT-PREREG,study_rule_verified,
SUZ-CU-N10-P,SUZ-CU-N10,Suzhou,activity_use,active_use_area_fraction,>=,0.25,fraction,area_relative_0.05,final_valid_design,Pass when active-use area is at least 25% of allocable site area and remains accessible.,soft,INT-PREREG,study_rule_verified,
SUZ-RR-N09-P,SUZ-RR-N09,Suzhou,access_mobility,post_revision_access_predicate_pass,=,true,boolean,exact,final_valid_design,Pass when the full critical access predicate still passes after the last scheduled revision.,hard,INT-PREREG,study_rule_verified,
SUZ-RR-N10-P,SUZ-RR-N10,Suzhou,shade_comfort,post_revision_weighted_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,final_valid_design,Pass when the final post-revision shade evaluation is at least 0.60.,soft,INT-PREREG,study_rule_verified,
SUZ-EA-N09-P,SUZ-EA-N09,Suzhou,vulnerable_group_priority,minimum_group_need_retention,>=,0.75,fraction,continuous_relative_0.02,final_valid_design,Pass when every encoded group has need retention at least 0.75.,hard,INT-PREREG,study_rule_verified,
SUZ-EA-N10-P,SUZ-EA-N10,Suzhou,shade_comfort,group_shade_benefit_gap,<=,0.1,fraction,continuous_relative_0.02,final_valid_design,Pass when max group shade benefit minus min group shade benefit is no greater than 0.10.,soft,INT-PREREG,study_rule_verified,
SUZ-IP-N09-P,SUZ-IP-N09,Suzhou,maintenance_budget,hard_constraint_failures AND budget_ratio,compound,0;1.00,count;ratio,exact;budget_relative_0.02,final_valid_design,Pass when hard-constraint failures equal zero AND budget ratio is no greater than 1.00.,hard,INT-PREREG,study_rule_verified,
SUZ-IP-N10-P,SUZ-IP-N10,Suzhou,activity_use,green_fraction AND accessible_usable_activity_area_m2,compound,0.35;100,fraction;m2,area_or_canopy_relative_0.05,final_valid_design,Pass when green fraction is at least 0.35 AND accessible usable activity area is at least 100 m2.,soft,INT-PREREG,study_rule_verified,
LON-GE-N09-P,LON-GE-N09,London,ecology,contiguous_green_element_area_m2,>=,200,m2,area_relative_0.05,final_valid_design,Pass when one connected qualifying green-element polygon has area at least 200 m2.,hard,INT-PREREG,study_rule_verified,
LON-GE-N10-P,LON-GE-N10,London,activity_use,accessible_activity_node_area_m2,>=,150,m2,area_relative_0.05,final_valid_design,Pass when a connected accessible activity node has usable area at least 150 m2.,soft,INT-PREREG,study_rule_verified,
LON-AR-N09-P,LON-AR-N09,London,access_mobility,blocked_edge_used AND disconnected_required_destinations,compound,false;0,boolean;count,exact,final_valid_design,Pass when the blocked edge is not used AND all required destinations remain connected.,hard,INT-PREREG,study_rule_verified,
LON-AR-N10-P,LON-AR-N10,London,shade_comfort,max_rest_interval_m,<=,35,m,location_centroid_5m,final_valid_design,Pass when rest nodes occur at network intervals no greater than 35 m along the rerouted route.,soft,INT-PREREG,study_rule_verified,
LON-CU-N09-P,LON-CU-N09,London,ecology,protected_ecology_area_fraction,>=,0.4,fraction,area_relative_0.05,final_valid_design,Pass when protected ecology area is at least 40% of allocable site area.,hard,INT-PREREG,study_rule_verified,
LON-CU-N10-P,LON-CU-N10,London,activity_use,active_use_area_fraction,>=,0.25,fraction,area_relative_0.05,final_valid_design,Pass when active-use area is at least 25% of allocable site area and remains accessible.,soft,INT-PREREG,study_rule_verified,
LON-RR-N09-P,LON-RR-N09,London,access_mobility,post_revision_access_predicate_pass,=,true,boolean,exact,final_valid_design,Pass when the full critical access predicate still passes after the last scheduled revision.,hard,INT-PREREG,study_rule_verified,
LON-RR-N10-P,LON-RR-N10,London,shade_comfort,post_revision_weighted_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,final_valid_design,Pass when the final post-revision shade evaluation is at least 0.60.,soft,INT-PREREG,study_rule_verified,
LON-EA-N09-P,LON-EA-N09,London,vulnerable_group_priority,minimum_group_need_retention,>=,0.75,fraction,continuous_relative_0.02,final_valid_design,Pass when every encoded group has need retention at least 0.75.,hard,INT-PREREG,study_rule_verified,
LON-EA-N10-P,LON-EA-N10,London,shade_comfort,group_shade_benefit_gap,<=,0.1,fraction,continuous_relative_0.02,final_valid_design,Pass when max group shade benefit minus min group shade benefit is no greater than 0.10.,soft,INT-PREREG,study_rule_verified,
LON-IP-N09-P,LON-IP-N09,London,maintenance_budget,hard_constraint_failures AND budget_ratio,compound,0;1.00,count;ratio,exact;budget_relative_0.02,final_valid_design,Pass when hard-constraint failures equal zero AND budget ratio is no greater than 1.00.,hard,INT-PREREG,study_rule_verified,
LON-IP-N10-P,LON-IP-N10,London,activity_use,green_fraction AND accessible_usable_activity_area_m2,compound,0.35;100,fraction;m2,area_or_canopy_relative_0.05,final_valid_design,Pass when green fraction is at least 0.35 AND accessible usable activity area is at least 100 m2.,soft,INT-PREREG,study_rule_verified,
CHI-GE-N09-P,CHI-GE-N09,Chicago,ecology,contiguous_green_element_area_m2,>=,200,m2,area_relative_0.05,final_valid_design,Pass when one connected qualifying green-element polygon has area at least 200 m2.,hard,INT-PREREG,study_rule_verified,
CHI-GE-N10-P,CHI-GE-N10,Chicago,activity_use,accessible_activity_node_area_m2,>=,150,m2,area_relative_0.05,final_valid_design,Pass when a connected accessible activity node has usable area at least 150 m2.,soft,INT-PREREG,study_rule_verified,
CHI-AR-N09-P,CHI-AR-N09,Chicago,access_mobility,blocked_edge_used AND disconnected_required_destinations,compound,false;0,boolean;count,exact,final_valid_design,Pass when the blocked edge is not used AND all required destinations remain connected.,hard,INT-PREREG,study_rule_verified,
CHI-AR-N10-P,CHI-AR-N10,Chicago,shade_comfort,max_rest_interval_m,<=,35,m,location_centroid_5m,final_valid_design,Pass when rest nodes occur at network intervals no greater than 35 m along the rerouted route.,soft,INT-PREREG,study_rule_verified,
CHI-CU-N09-P,CHI-CU-N09,Chicago,ecology,protected_ecology_area_fraction,>=,0.4,fraction,area_relative_0.05,final_valid_design,Pass when protected ecology area is at least 40% of allocable site area.,hard,INT-PREREG,study_rule_verified,
CHI-CU-N10-P,CHI-CU-N10,Chicago,activity_use,active_use_area_fraction,>=,0.25,fraction,area_relative_0.05,final_valid_design,Pass when active-use area is at least 25% of allocable site area and remains accessible.,soft,INT-PREREG,study_rule_verified,
CHI-RR-N09-P,CHI-RR-N09,Chicago,access_mobility,post_revision_access_predicate_pass,=,true,boolean,exact,final_valid_design,Pass when the full critical access predicate still passes after the last scheduled revision.,hard,INT-PREREG,study_rule_verified,
CHI-RR-N10-P,CHI-RR-N10,Chicago,shade_comfort,post_revision_weighted_shade_fraction,>=,0.6,fraction,continuous_relative_0.02,final_valid_design,Pass when the final post-revision shade evaluation is at least 0.60.,soft,INT-PREREG,study_rule_verified,
CHI-EA-N09-P,CHI-EA-N09,Chicago,vulnerable_group_priority,minimum_group_need_retention,>=,0.75,fraction,continuous_relative_0.02,final_valid_design,Pass when every encoded group has need retention at least 0.75.,hard,INT-PREREG,study_rule_verified,
CHI-EA-N10-P,CHI-EA-N10,Chicago,shade_comfort,group_shade_benefit_gap,<=,0.1,fraction,continuous_relative_0.02,final_valid_design,Pass when max group shade benefit minus min group shade benefit is no greater than 0.10.,soft,INT-PREREG,study_rule_verified,
CHI-IP-N09-P,CHI-IP-N09,Chicago,maintenance_budget,hard_constraint_failures AND budget_ratio,compound,0;1.00,count;ratio,exact;budget_relative_0.02,final_valid_design,Pass when hard-constraint failures equal zero AND budget ratio is no greater than 1.00.,hard,INT-PREREG,study_rule_verified,
CHI-IP-N10-P,CHI-IP-N10,Chicago,activity_use,green_fraction AND accessible_usable_activity_area_m2,compound,0.35;100,fraction;m2,area_or_canopy_relative_0.05,final_valid_design,Pass when green fraction is at least 0.35 AND accessible usable activity area is at least 100 m2.,soft,INT-PREREG,study_rule_verified,
