need_id,site,site_index,scenario_applicability,decision_type,need_class,role,beneficiary,priority,criticality,source_id,evidence_type,evidence_summary,spatial_scope,requested_change,parametric_implication,satisfaction_predicate_id,conflict_links,stress_only,interpretation_note
LON-N05,London,2,LON-ALL,ALL,ecology,analytical_planner_proxy,Local habitat and users benefiting from ecological function,high,noncritical,LON-MITRE-APP,official_source_derived_analytical_need,Official planning records identify a constrained brownfield regeneration site; London policy adds urban-greening and accessibility expectations.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); all proposed planted areas","Use brownfield-compatible habitat creation and urban greening that can contribute to UGF and, where applicable, BNG.",native_or_locally_adapted_planting_fraction>=0.70; green_fraction>=0.35,LON-N05-P,LON-N03,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
LON-N06,London,2,LON-ALL,ALL,activity_use,analytical_planner_proxy,Neighbourhood and site users,medium,noncritical,LON-MITRE-APP,official_source_derived_analytical_need,Official planning records identify a constrained brownfield regeneration site; London policy adds urban-greening and accessibility expectations.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); one accessible activity zone",Provide publicly usable open-space functions within the brownfield regeneration layout.,accessible_usable_activity_area_m2>=100,LON-N06-P,LON-N07,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
LON-N07,London,2,LON-ALL,ALL,maintenance_budget,analytical_planner_proxy,Implementing and maintenance authority,high,noncritical,INT-PREREG,study_defined_analytical_need,All workflows receive the same normalised budget; feasibility requires the budget ratio not to exceed 1.00.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); complete bill of quantities and maintenance schedule",Keep capital cost within the scenario budget and provide a maintenance responsibility and replacement schedule.,budget_ratio<=1.00; maintenance_plan_complete=true,LON-N07-P,LON-N06,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-N08,London,2,LON-ALL,ALL,vulnerable_group_priority,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",high,noncritical,INT-PREREG,study_defined_analytical_need,The Equity Guardian requires minimum group need retention of 0.75 and the shared study geometry rule requires a 1.525 m circular turning diameter.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); each primary destination and vulnerable-use zone",Provide circular wheelchair turning space at each primary destination and retain at least 75% of the encoded needs for the vulnerable beneficiary group.,min_turning_diameter_m>=1.525; minimum_group_need_retention>=0.75,LON-N08-P,,no,"Not elicited from residents; the 1.525 m value is a shared study rule adopted from the strictest verified value and is not asserted as a London legal minimum."
CHI-N01,Chicago,3,CHI-ALL,ALL,access_mobility,analytical_planner_proxy,All users requiring step-free access,critical,critical,INT-PREREG,study_defined_analytical_need,The study protocol requires a connected accessible route for every scenario.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); all frozen entrances and required destinations,Create one continuous step-free primary route linking every frozen entrance to every required destination.,accessible_route_graph_connected=true; disconnected_required_destinations=0,CHI-N01-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-N02,Chicago,3,CHI-ALL,ALL,access_mobility,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,The shared study controls deliberately set an accessibility design envelope that may be stricter than local minima.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); full primary accessible route,"Maintain at least 1.50 m clear width, running slope at most 5%, and cross slope at most 2% along the primary route.",route_clear_width_m>=1.50; running_slope<=0.05; cross_slope<=0.02,CHI-N02-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-N03,Chicago,3,CHI-ALL,ALL,shade_comfort,analytical_planner_proxy,"People walking, waiting, or sitting during summer daytime",high,noncritical,INT-PREREG,study_defined_analytical_need,The protocol defines a shade-based environmental-comfort outcome; it is not measured thermal comfort.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); priority route segments and seating nodes,Provide effective shade across priority walking and sitting locations during the frozen summer evaluation times.,weighted_effective_shade_fraction>=0.60,CHI-N03-P,CHI-N05,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-N04,Chicago,3,CHI-ALL,ALL,shade_comfort,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",high,noncritical,INT-PREREG,study_defined_analytical_need,A 50 m rest interval is adopted as a common analytical comfort rule for cross-site comparison.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); primary walking route,Place accessible rest opportunities at intervals no greater than 50 m without narrowing the accessible route.,max_rest_interval_m<=50; route_obstruction_count=0,CHI-N04-P,,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-N05,Chicago,3,CHI-ALL,ALL,ecology,analytical_planner_proxy,Local habitat and users benefiting from ecological function,high,noncritical,CHI-ENGLEWOOD,official_source_derived_analytical_need,The City plan frames the 59th Line as a linear park and trail spine linked to ecological and urban-agriculture uses.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); all proposed planted areas,Support a linear-park habitat spine compatible with nearby urban agriculture and the rail-trail corridor.,native_or_locally_adapted_planting_fraction>=0.70; green_fraction>=0.35,CHI-N05-P,CHI-N03,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
CHI-N06,Chicago,3,CHI-ALL,ALL,activity_use,analytical_planner_proxy,Neighbourhood and site users,medium,noncritical,CHI-ENGLEWOOD,official_source_derived_analytical_need,The City plan frames the 59th Line as a linear park and trail spine linked to ecological and urban-agriculture uses.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); one accessible activity zone,Provide continuous trail recreation while preserving connections to adjacent community and agro-ecological uses.,accessible_usable_activity_area_m2>=100,CHI-N06-P,CHI-N07,no,Not elicited from residents; this need is derived from the cited official source and operationalised for preregistered analysis. It is not a resident statement or legal opinion.
CHI-N07,Chicago,3,CHI-ALL,ALL,maintenance_budget,analytical_planner_proxy,Implementing and maintenance authority,high,noncritical,INT-PREREG,study_defined_analytical_need,All workflows receive the same normalised budget; feasibility requires the budget ratio not to exceed 1.00.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); complete bill of quantities and maintenance schedule,Keep capital cost within the scenario budget and provide a maintenance responsibility and replacement schedule.,budget_ratio<=1.00; maintenance_plan_complete=true,CHI-N07-P,CHI-N06,no,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-N08,Chicago,3,CHI-ALL,ALL,vulnerable_group_priority,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",high,noncritical,INT-PREREG,study_defined_analytical_need,The Equity Guardian requires minimum group need retention of 0.75 and the shared study geometry rule requires a 1.525 m circular turning diameter.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); each primary destination and vulnerable-use zone,Provide circular wheelchair turning space at each primary destination and retain at least 75% of the encoded needs for the vulnerable beneficiary group.,min_turning_diameter_m>=1.525; minimum_group_need_retention>=0.75,CHI-N08-P,,no,"Not elicited from residents; the 1.525 m value is both the shared study rule and the verified Chicago circular-turning value where ADA applies."
SUZ-GE-N09,Suzhou,1,SUZ-GE-S,GE,ecology,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); GE stress-operation extent,Protect a contiguous green-element zone despite competing placement claims.,contiguous_green_element_area_m2>=200,SUZ-GE-N09-P,SUZ-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-GE-N10,Suzhou,1,SUZ-GE-S,GE,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); GE stress-operation extent,Add an accessible activity node within the green-element layout.,accessible_activity_node_area_m2>=150,SUZ-GE-N10-P,SUZ-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-AR-N09,Suzhou,1,SUZ-AR-S,AR,access_mobility,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); AR stress-operation extent,Reroute around the frozen blocked edge while preserving access to every required destination.,blocked_edge_used=false; disconnected_required_destinations=0,SUZ-AR-N09-P,SUZ-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-AR-N10,Suzhou,1,SUZ-AR-S,AR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); AR stress-operation extent,Increase rest opportunities along the longer rerouted path.,max_rest_interval_m<=35,SUZ-AR-N10-P,SUZ-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-CU-N09,Suzhou,1,SUZ-CU-S,CU,ecology,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); CU stress-operation extent,Reserve a protected ecology zone before allocating remaining space to circulation and activity.,protected_ecology_area_fraction>=0.40,SUZ-CU-N09-P,SUZ-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-CU-N10,Suzhou,1,SUZ-CU-S,CU,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); CU stress-operation extent,Retain a substantive active-use allocation under land competition.,active_use_area_fraction>=0.25,SUZ-CU-N10-P,SUZ-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-RR-N09,Suzhou,1,SUZ-RR-S,RR,access_mobility,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); RR stress-operation extent,"At the frozen revision event, retain the continuous accessible route without changing its substantive predicate.",post_revision_access_predicate_pass=true,SUZ-RR-N09-P,SUZ-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-RR-N10,Suzhou,1,SUZ-RR-S,RR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); RR stress-operation extent,"At the later revision event, retain the 0.60 shade target while accommodating the revised requirement.",post_revision_weighted_shade_fraction>=0.60,SUZ-RR-N10-P,SUZ-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-EA-N09,Suzhou,1,SUZ-EA-S,EA,vulnerable_group_priority,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); EA stress-operation extent,Ensure the least-served encoded group retains at least 75% of its needs under the stress allocation.,minimum_group_need_retention>=0.75,SUZ-EA-N09-P,SUZ-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-EA-N10,Suzhou,1,SUZ-EA-S,EA,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); EA stress-operation extent,Limit the gap in shade benefit between the most- and least-served encoded groups.,group_shade_benefit_gap<=0.10,SUZ-EA-N10-P,SUZ-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-IP-N09,Suzhou,1,SUZ-IP-S,IP,maintenance_budget,analytical_planner_proxy,"Older adults, wheelchair users, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting critical need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); IP stress-operation extent,Meet every applicable hard constraint under the reduced stress-scenario budget.,hard_constraint_failures=0; budget_ratio<=1.00,SUZ-IP-N09-P,SUZ-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
SUZ-IP-N10,Suzhou,1,SUZ-IP-S,IP,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting high-priority need.,Xutai Road neighbourhood grass parcel (OSM way 741252447); IP stress-operation extent,Retain both the common green fraction and one usable activity zone in the integrated proposal.,green_fraction>=0.35; accessible_usable_activity_area_m2>=100,SUZ-IP-N10-P,SUZ-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-GE-N09,London,2,LON-GE-S,GE,ecology,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); GE stress-operation extent",Protect a contiguous green-element zone despite competing placement claims.,contiguous_green_element_area_m2>=200,LON-GE-N09-P,LON-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-GE-N10,London,2,LON-GE-S,GE,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); GE stress-operation extent",Add an accessible activity node within the green-element layout.,accessible_activity_node_area_m2>=150,LON-GE-N10-P,LON-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-AR-N09,London,2,LON-AR-S,AR,access_mobility,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); AR stress-operation extent",Reroute around the frozen blocked edge while preserving access to every required destination.,blocked_edge_used=false; disconnected_required_destinations=0,LON-AR-N09-P,LON-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-AR-N10,London,2,LON-AR-S,AR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen AR stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); AR stress-operation extent",Increase rest opportunities along the longer rerouted path.,max_rest_interval_m<=35,LON-AR-N10-P,LON-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-CU-N09,London,2,LON-CU-S,CU,ecology,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); CU stress-operation extent",Reserve a protected ecology zone before allocating remaining space to circulation and activity.,protected_ecology_area_fraction>=0.40,LON-CU-N09-P,LON-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-CU-N10,London,2,LON-CU-S,CU,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen CU stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); CU stress-operation extent",Retain a substantive active-use allocation under land competition.,active_use_area_fraction>=0.25,LON-CU-N10-P,LON-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-RR-N09,London,2,LON-RR-S,RR,access_mobility,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); RR stress-operation extent","At the frozen revision event, retain the continuous accessible route without changing its substantive predicate.",post_revision_access_predicate_pass=true,LON-RR-N09-P,LON-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-RR-N10,London,2,LON-RR-S,RR,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen RR stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); RR stress-operation extent","At the later revision event, retain the 0.60 shade target while accommodating the revised requirement.",post_revision_weighted_shade_fraction>=0.60,LON-RR-N10-P,LON-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-EA-N09,London,2,LON-EA-S,EA,vulnerable_group_priority,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); EA stress-operation extent",Ensure the least-served encoded group retains at least 75% of its needs under the stress allocation.,minimum_group_need_retention>=0.75,LON-EA-N09-P,LON-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-EA-N10,London,2,LON-EA-S,EA,shade_comfort,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen EA stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); EA stress-operation extent",Limit the gap in shade benefit between the most- and least-served encoded groups.,group_shade_benefit_gap<=0.10,LON-EA-N10-P,LON-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-IP-N09,London,2,LON-IP-S,IP,maintenance_budget,analytical_planner_proxy,"Wheelchair users, visually impaired pedestrians, and people with limited walking endurance",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting critical need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); IP stress-operation extent",Meet every applicable hard constraint under the reduced stress-scenario budget.,hard_constraint_failures=0; budget_ratio<=1.00,LON-IP-N09-P,LON-N06,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
LON-IP-N10,London,2,LON-IP-S,IP,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen IP stress manipulation: one additional conflicting high-priority need.,"Mitre Yard, 104-108 Scrubs Lane (OSM way 49601059); IP stress-operation extent",Retain both the common green fraction and one usable activity zone in the integrated proposal.,green_fraction>=0.35; accessible_usable_activity_area_m2>=100,LON-IP-N10-P,LON-N07,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-GE-N09,Chicago,3,CHI-GE-S,GE,ecology,analytical_planner_proxy,"People with mobility disabilities, older adults, and residents relying on walking or cycling access",critical,critical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting critical need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); GE stress-operation extent,Protect a contiguous green-element zone despite competing placement claims.,contiguous_green_element_area_m2>=200,CHI-GE-N09-P,CHI-N05,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
CHI-GE-N10,Chicago,3,CHI-GE-S,GE,activity_use,analytical_planner_proxy,Site users and the affected analytical group,high,noncritical,INT-PREREG,study_defined_analytical_need,Frozen GE stress manipulation: one additional conflicting high-priority need.,Selected New ERA / Englewood Nature Trail segment (OSM way 624189839); GE stress-operation extent,Add an accessible activity node within the green-element layout.,accessible_activity_node_area_m2>=150,CHI-GE-N10-P,CHI-N03,yes,"Not elicited from residents; this is a study-defined analytical requirement, not a legal standard or community preference."
